1690986295179316992,17.13988,-0.41353,1.28245,0.99978,-0.01291,-0.01649,0.00264,
1690986295279345408,17.25271,-0.41210,1.28473,0.99986,-0.01199,-0.00328,0.01092,
1690986295479472640,17.48599,-0.40449,1.26971,0.99990,-0.00464,-0.01281,-0.00280,
1690986295579416064,17.60461,-0.39951,1.26930,0.99967,0.00038,-0.01605,-0.02024,
1690986295679582976,17.72301,-0.39672,1.27755,0.99955,0.00878,-0.01063,-0.02666,
1690986295779386368,17.83876,-0.39820,1.28263,0.99935,0.01629,-0.00156,-0.03213,
1690986295979594752,18.07568,-0.40945,1.27015,0.99911,0.01613,-0.01821,-0.03440,
1690986296079558400,18.19399,-0.41450,1.26834,0.99957,0.00924,-0.01582,-0.02277,
1690986296279247872,18.42788,-0.42256,1.29024,0.99997,0.00379,-0.00346,-0.00600,
1690986296479577600,18.66810,-0.42396,1.28990,0.99957,-0.00759,-0.02657,-0.01011,
1690986296580770048,18.79094,-0.42101,1.28946,0.99904,-0.00786,-0.03435,-0.02609,
1690986296679110400,18.91488,-0.41896,1.29279,0.99874,-0.00014,-0.03609,-0.03478,
1690986296779160832,19.02954,-0.42258,1.31024,0.99901,0.00759,-0.02637,-0.03491,
1690986296979102976,19.26874,-0.43516,1.30119,0.99885,-0.00141,-0.03645,-0.03127,
1690986297079311360,19.39329,-0.44293,1.28998,0.99887,-0.00586,-0.04137,-0.02266,
1690986297179212288,19.51453,-0.44810,1.29003,0.99914,-0.00849,-0.03879,-0.01208,
1690986297278987776,19.63335,-0.44948,1.29896,0.99948,-0.01270,-0.02949,0.00145,
1690986297379193344,19.75383,-0.44864,1.30678,0.99945,-0.01950,-0.02452,0.01072,
1690986297479067648,19.87655,-0.44547,1.30352,0.99887,-0.02299,-0.03926,0.01390,
1690986297579663872,20.00160,-0.43968,1.29710,0.99847,-0.02149,-0.05066,0.00517,
1690986297678896640,20.12481,-0.43188,1.29909,0.99878,-0.01886,-0.04484,-0.00833,
1690986297879092480,20.36586,-0.42583,1.31701,0.99957,-0.00678,-0.02527,-0.01356,
1690986298079705600,20.60606,-0.42837,1.30573,0.99933,-0.01180,-0.03326,-0.00949,
1690986298179654656,20.72329,-0.42907,1.30370,0.99939,-0.00959,-0.03358,-0.00006,
1690986298379365376,20.95487,-0.43039,1.33030,0.99960,-0.00284,-0.02408,0.01423,
1690986298579219456,21.19269,-0.43055,1.32453,0.99895,-0.01499,-0.04205,0.01029,
1690986298680820480,21.31454,-0.42772,1.31885,0.99886,-0.01099,-0.04635,-0.00342,
1690986298879776000,21.54972,-0.43243,1.32870,0.99919,-0.00317,-0.03592,-0.01789,
1690986299179649024,21.90626,-0.45566,1.31095,0.99888,-0.00679,-0.04402,-0.01599,
1690986299279447552,22.02187,-0.45964,1.31179,0.99954,-0.00267,-0.02824,-0.01054,
1690986299379303680,22.13762,-0.46089,1.31999,0.99978,-0.00569,-0.01974,0.00291,
1690986299482084096,22.25594,-0.45934,1.32274,0.99966,-0.01411,-0.01542,0.01575,
1690986299781984256,22.61613,-0.44896,1.30757,0.99977,-0.00941,-0.01812,-0.00638,
1690986299879964928,22.73027,-0.44696,1.32237,0.99986,-0.00163,-0.00915,-0.01382,
1690986299984733440,22.85113,-0.44808,1.32985,0.99985,0.00192,0.00443,-0.01681,
1690986300179360768,23.07775,-0.45669,1.30336,0.99993,0.00114,-0.00843,-0.00762,
1690986300279452928,23.19285,-0.45895,1.30229,0.99979,-0.00498,-0.01980,0.00084,
1690986300479734784,23.42228,-0.45991,1.33086,0.99981,-0.00006,-0.00748,0.01784,
1690986300679555328,23.66068,-0.45486,1.31873,0.99958,-0.01016,-0.02146,0.01661,
1690986300779443200,23.78269,-0.45009,1.31627,0.99992,-0.00512,-0.01085,0.00388,
1690986300879187968,23.90115,-0.44856,1.32918,0.99996,0.00105,-0.00675,-0.00524,
1690986301179634176,24.25323,-0.46740,1.33418,0.99990,-0.00032,-0.01374,-0.00174,
1690986301280331776,24.37220,-0.47418,1.32237,0.99996,0.00228,-0.00508,0.00689,
1690986301379396096,24.48466,-0.47766,1.32529,0.99985,-0.00292,-0.00339,0.01702,
1690986301479184384,24.59526,-0.47843,1.33729,0.99956,-0.00408,0.00029,0.02952,
1690986301779444992,24.94196,-0.47786,1.32718,0.99986,-0.00214,-0.00547,0.01563,
1690986301879635456,25.05833,-0.47643,1.32799,0.99997,0.00422,-0.00497,-0.00474,
1690986301979710464,25.17151,-0.47811,1.33529,0.99987,0.00340,-0.00019,-0.01582,
1690986302079621888,25.28110,-0.48337,1.33800,0.99966,-0.00528,0.00589,-0.02497,
1690986302179312896,25.39246,-0.49034,1.33102,0.99956,-0.01265,-0.00422,-0.02654,
1690986302282282496,25.51056,-0.49709,1.32207,0.99965,-0.01679,-0.01034,-0.01757,
1690986302379498752,25.62117,-0.50182,1.31892,0.99968,-0.02450,0.00079,-0.00584,
1690986302479514880,25.73316,-0.50424,1.32384,0.99962,-0.02477,0.00759,0.00981,
1690986302579396096,25.84360,-0.50383,1.32912,0.99927,-0.02252,0.01079,0.02888,
1690986302779565824,26.07562,-0.50294,1.31485,0.99950,-0.01464,-0.00060,0.02797,
1690986302879560704,26.19630,-0.50194,1.31652,0.99968,-0.01635,-0.01555,0.01111,
1690986302982492416,26.31115,-0.50520,1.32736,0.99927,-0.01561,-0.03333,0.01014,
1690986303079394560,26.41827,-0.50843,1.34102,0.99965,-0.00909,-0.02468,-0.00089,
1690986303179570432,26.53061,-0.51449,1.33951,0.99977,-0.00184,-0.01838,-0.01058,
1690986303379410688,26.76362,-0.53256,1.30643,0.99991,-0.01299,0.00104,-0.00199,
1690986303479301376,26.88122,-0.53938,1.30822,0.99989,-0.01088,0.00185,0.01006,
1690986303580450048,26.99827,-0.54393,1.31661,0.99956,-0.00773,0.00388,0.02841,
1690986303679341824,27.11207,-0.54651,1.31816,0.99928,-0.00571,0.01636,0.03373,
1690986303878965504,27.34702,-0.54979,1.29744,0.99976,-0.01273,-0.00309,0.01748,
1690986303979562496,27.46581,-0.55149,1.30435,0.99986,-0.01060,-0.01104,-0.00663,
1690986304079136256,27.58176,-0.55594,1.32145,0.99981,-0.00647,-0.00768,-0.01685,
1690986304179951872,27.69656,-0.56443,1.33517,0.99972,0.00111,0.00685,-0.02253,
1690986304278970368,27.81091,-0.57486,1.32966,0.99972,-0.00937,-0.00837,-0.02002,
1690986304378891264,27.92857,-0.58667,1.31800,0.99949,-0.02211,-0.02289,-0.00085,
1690986304479148288,28.04904,-0.59888,1.32043,0.99902,-0.03334,-0.02491,0.01524,
